target,OverallQual,GrLivArea,Neighborhood,x1stFlrSF,TotalBsmtSF,BsmtFinSF1,LotArea,GarageCars,MSSubClass,GarageArea,YearRemodAdd,YearBuilt
138e3,5,816,Mitchel,816,816,816,6600,2,_20,816,2003,1982
369900,8,2028,Timber,2028,1868,1460,11443,3,_20,880,2006,2005
18e4,7,1509,Gilbert,807,783,0,7875,2,_60,393,2003,2003
207500,6,1686,NWAmes,1686,1686,625,10240,2,_20,612,1980,1980
147e3,5,1120,Mitchel,1120,1120,206,8402,0,_20,0,2007,2007
109e3,5,1057,NAmes,1057,1057,731,7922,1,_20,246,2007,1953
173e3,6,1291,ClearCr,1291,1291,1003,2887,2,_120,431,1997,1996
157900,5,1188,Mitchel,1188,1188,593,26142,1,_20,312,1962,1962
19e4,5,1582,ClearCr,1582,1624,812,36500,2,_20,390,1964,1964
174e3,7,1682,NWAmes,1682,1304,0,10400,2,_20,530,1970,1970
232600,8,1489,Somerst,1489,1489,0,11216,2,_20,776,2006,2006
37900,3,968,OldTown,600,600,0,5925,0,_50,0,1950,1910
124e3,5,1750,OldTown,1089,636,0,9e3,1,_70,240,1991,1880
131500,5,1039,Sawyer,1039,1039,841,11625,2,_190,504,1965,1965
155e3,5,1128,NAmes,1128,1120,776,8700,2,_20,525,1963,1963
133700,5,1040,NAmes,1040,1040,369,7560,1,_20,286,1959,1959
139e3,6,1196,NAmes,1196,1196,616,9e3,1,_20,297,1956,1956
166e3,5,1385,NAmes,910,910,507,8520,2,_50,720,1952,1952
163500,5,964,Crawfor,964,876,713,13360,2,_30,432,2006,1921
162e3,5,1287,NAmes,1287,1063,72,9830,2,_20,576,2006,1959
124900,5,1869,OldTown,1188,1088,1088,8820,2,_50,456,1996,1890
19e4,6,1888,NAmes,1888,1517,247,16492,2,_20,578,2002,1966
16e4,6,1251,NAmes,1251,1251,553,8800,1,_20,461,1964,1964
192140,5,1838,Gilbert,734,732,0,21930,2,_60,372,2005,2005
333168,9,2599,NoRidge,1422,1393,0,14774,3,_60,779,1999,1999
153e3,5,1306,NAmes,1306,992,860,8712,1,_20,756,2e3,1957
225e3,7,1733,Gilbert,847,847,0,12394,2,_60,433,2003,2003
80500,4,912,BrkSide,672,0,0,6240,0,_50,0,1950,1947
285e3,8,2872,NoRidge,2129,1683,700,10678,2,_50,541,2e3,1992
13e4,7,1709,Edwards,970,970,0,2522,2,_160,380,2004,2004
167240,7,1248,Blmngtn,1248,1248,16,3010,2,_120,438,2006,2005
2e5,6,1700,CollgCr,1700,1682,340,9135,2,_20,544,2003,2003
105e3,6,1258,Edwards,698,560,204,9060,1,_50,280,1950,1939
192e3,7,1431,CollgCr,1431,1431,560,9017,2,_20,666,1999,1999
14e4,5,936,OldTown,936,936,936,7200,2,_90,672,1980,1980
165e3,6,1350,NWAmes,1350,1064,0,10140,2,_20,478,1974,1974
187500,6,1498,Gilbert,691,691,592,13031,2,_60,409,1996,1995
119e3,5,1367,Edwards,961,861,241,8405,1,_50,384,1950,1900
178740,7,1414,Blmngtn,1414,1375,0,3072,2,_120,398,2004,2004
178900,6,1484,Gilbert,783,783,0,10237,2,_60,393,2007,2005
189e3,8,1228,StoneBr,1228,1228,767,4671,2,_120,472,1989,1988
52500,4,693,OldTown,693,693,0,4118,0,_30,0,1950,1941
119e3,5,1728,NAmes,1728,1728,40,10624,1,_90,352,1964,1964
112e3,6,1310,OldTown,865,617,617,7e3,1,_50,398,1950,1924
87500,3,1040,NAmes,1040,0,0,8544,2,_90,400,1950,1949
260400,7,1720,NoRidge,1720,1720,919,10593,2,_20,527,1996,1996
197e3,7,3082,SWISU,1687,824,523,15863,2,_75,672,1970,1920
255500,8,1717,NridgHt,1717,1709,0,11146,3,_20,908,2006,2006
184900,7,1200,SawyerW,1200,1176,833,10083,2,_20,555,2003,2003
12e4,5,912,NAmes,912,912,111,7535,1,_20,297,1985,1958
139500,6,1489,SWISU,944,778,0,9900,1,_50,240,1950,1940
271900,7,2196,SawyerW,2196,2158,485,14684,3,_20,701,1991,1990
29e4,8,1660,Somerst,1660,1660,1220,10182,2,_20,500,2006,2006
22e4,8,1915,SawyerW,927,908,789,10041,2,_60,506,1992,1992
215e3,6,1656,NAmes,1656,1080,639,31770,2,_20,528,1960,1960
192e3,7,2022,ClearCr,1156,1160,392,10005,2,_60,505,1977,1977
268e3,8,2217,NAmes,2217,2217,351,15865,2,_20,621,1970,1970
236500,8,1788,CollgCr,1788,1753,0,11838,2,_20,522,2001,2001
157e3,7,1601,NWAmes,1601,1271,704,11880,2,_20,478,1978,1978
187e3,6,1710,SawyerW,832,832,426,9291,2,_60,506,1993,1993
231500,6,1764,CollgCr,928,928,821,15426,2,_60,470,1997,1997
23e4,7,1654,CollgCr,1654,1654,986,8125,3,_20,900,2002,2002
163e3,6,1362,NAmes,1362,1362,288,10197,2,_20,504,1961,1961
132e3,5,1432,OldTown,768,264,0,9600,2,_70,360,2002,1910
383970,7,2696,CollgCr,1282,1264,984,9965,3,_60,792,2007,2007
